Team,Sprint Set,Quarter,Date,Week #,Day 1 Close Target End Date,Close Category,Day 1 Close Theme,OKR,Key Result,Week Focus and Tasks,End of Week Deliverable / Milestone,Hours Saved,Owner(s),Dependencies,Status,Notes,Link
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,1/31/2026,Close Management,Build out Numeric instance,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 2: Leverage monitors to track coding changes,"[close week]
Focus: Constant monitoring of coding errors and correcting the root issue (PO or cash coding incorrect)
Tasks:
1. Clear all monitors in Numeric CCR mointor for the week
2. Create reclass entries as needed and post","[close week]
- Zero alerts by EOW",1,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"1. Move Sandbox env to Production
2. Test integration in Production",1. Integration is in Production and working properly,1,Selena Ochoa,John availability to push this through to Production,In-Progress,"Update as of 11/18:

John has transitioned this job to another developer. The developer is having issues matching Company WD naming convension to that in NS. We are exploring solutions. This is the last peice for the integration to work, so we are told. Expect to have further updates later this week. ",
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,1. Sales comp team is using integration week-over-week,1. Integration complete,1,Selena Ochoa,John/Developer availability to push this through to Production,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"1. Update Commission confluence pages, if any","1. Project complete, automation is working
2. Update any documentation needed",1,Selena Ochoa,John to provide the Xactly Operations Guide for work performed,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"1. Update Commission confluence pages, if any","1. Project complete, automation is working
2. Update any documentation needed",1,Selena Ochoa,John to provide the Xactly Operations Guide for work performed,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 4: Review close checklist and identify how we will incorporate their activities into our monthly close and/or who is owning the processes,1. GE completely embedded into Gusto Inc workstream,"1. Integration complete
2. Complete documentation of process for integration of PPE for future acquisitions",2,Selena Ochoa,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,4/30/2026,PEO,Support PEO planning effort for 1 customer live for FY27,C.A. 7 New Entity Formations and GL accounting ,KR 1: Support PEO planning effort for 1 customer live for FY27,Support PEO planning efforts,Support PEO planning efforts,n/a,Rachele Russo,,In-Progress,,
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,4/30/2026,PEO,Support PEO planning effort for 1 customer live for FY27,C.A. 7 New Entity Formations and GL accounting ,KR 1: Support PEO planning effort for 1 customer live for FY27,Support PEO planning efforts,[close week],n/a,Rachele Russo,,In-Progress,,
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,4/30/2026,PEO,Support PEO planning effort for 1 customer live for FY27,C.A. 7 New Entity Formations and GL accounting ,KR 1: Support PEO planning effort for 1 customer live for FY27,Support PEO planning efforts,Completed Accounting Ops tab in AFO Project plan tracker to identify accounting needs.,n/a,Rachele Russo,,In-Progress,,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,4/30/2026,PEO,Support PEO planning effort for 1 customer live for FY27,C.A. 7 New Entity Formations and GL accounting ,KR 1: Support PEO planning effort for 1 customer live for FY27,Support PEO planning efforts,Meet with PEO DRIs to review questions for accounting ops tab.,n/a,Rachele Russo,,In-Progress,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,4/30/2026,PEO,Support PEO planning effort for 1 customer live for FY27,C.A. 7 New Entity Formations and GL accounting ,KR 1: Support PEO planning effort for 1 customer live for FY27,Support PEO planning efforts,TBD,n/a,Rachele Russo,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,4/30/2026,PEO,Support PEO planning effort for 1 customer live for FY27,C.A. 7 New Entity Formations and GL accounting ,KR 1: Support PEO planning effort for 1 customer live for FY27,Support PEO planning efforts,TBD,n/a,Rachele Russo,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Automate the accrual process for a Day 1 close,"[close week]
Focus: Trial run WiseLayer accrual functionality alongside our current manual process
Tasks:
1. Complete manual close process and trial 15 key vendors in the accruals.ai space for accuracy and consistency across systems
2. Complete a log of variances and trouble spots for WiseLayer review","[close week]
- Completed log of variances between platforms
- Completed log of 15 vendor tests",35,Justine O'Sullivan,deliverables from accruals.ai need to be worked on by WiseLayer in order to use the product,At-Risk/Missed,"This was missed due to WiseLayer not pushing out all the updates we needed before close started. Because of this, we did not start testing and instead, relied on our current process to complete October close.",
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Automate the accrual process for a Day 1 close,"[close week]
Focus: Trial run WiseLayer accrual functionality alongside our current manual process
Tasks:
1. Complete manual close process and trial 15 key vendors in the accruals.ai space for accuracy and consistency across systems
2. Complete a log of variances and trouble spots for WiseLayer review","[close week]
- Completed log of variances between platforms
- Completed log of 15 vendor tests
- Meet with WiseLayer team to review results and ask further questions, deliver further feedback",35,Justine O'Sullivan,deliverables from accruals.ai need to be worked on by WiseLayer in order to use the product,Complete,"Moving the deliverable from last week to this week, as we are meeting with WiseLayer on 11/12 to review.
Trial Testing",
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Automate the accrual process for a Day 1 close,"Focus: Work on prepping for November close actually using accruals.ai
Tasks:
1. Perform audit of accruals.ai as it relates to deliverables that they were supposed to provide
2. Report back to WiseLayer any unfinished requests and further questions
3. Create a gameplan for November close","- Completed final plan for November close with timeline and accruals.ai features
- ROI plan filled out for expectations around November close ",35,Justine O'Sullivan,deliverables from accruals.ai need to be finalized in advance of November close prep,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Automate the accrual process for a Day 1 close,"[Thanksgiving break] - Rollover for Aileen to work on if needed
Focus: Work on prepping for November close actually using accruals.ai
Tasks:
1. Perform audit of accruals.ai as it relates to deliverables that they were supposed to provide
2. Report back to WiseLayer any unfinished requests and further questions
3. Create a gameplan for November close","[Thanksgiving break] - Rollover for Aileen to work on if needed
- Completed final plan for November close with timeline and accruals.ai features
- ROI plan filled out for expectations around November close",35,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Automate the accrual process for a Day 1 close,"[close week]
Focus: Test out accruals.ai for November close
Tasks:
1. Work soley in accruals.ai for November close accruals items
2. Keep an accurate listing of crucial errors ","[close week]
- Successful November close BD1-5 using accruals.ai",35,Justine O'Sullivan,deliverables from accruals.ai need to be finalized in advance of November close,Not Started,,
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Automate the accrual process for a Day 1 close,"[close week]
Focus: Test out accruals.ai for November close
Tasks:
1. Complete the ROI sheet and determine if we want to move forward with vendor","[close week]
- Completed ROI sheet filled out and completed in it's entirety to determine if we want to move forward with the tool or find a new tool/continue to build in house",35,Justine O'Sullivan,,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2",Continued execution of improvements,Close Cash on BD 3,8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",In-Progress,,Close Cash Faster est. 09/2025
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,Enhancements progression,Use TP flow for Turkey + CA + AppWrap check in,2,Charles Sikazwe,FNT support,In-Progress,,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 2,Q3'26,11/3/2025,1,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement",#NAME?,#NAME?,3,Charles Sikazwe,"FNT support
D&V capacity",In-Progress,,"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2","October retro
Direct FCF prep automation","- action steps from Oct retro
- action steps for Direct FCF prep automation",8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",In-Progress,"- Win: October Cash closed in 2.5 days
- Close Cash Faster: added Retro for October in project doc linked in column R
- Progress: Direct FCF prep automation - sent queries to D&V that will inform scoping for tasks to attempt to automate",Close Cash Faster est. 09/2025
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,"Netsuite Invoicing
GL + department logic","Action steps plan for Netsuite invoicing
Action steps for GL + Department logic",2,Charles Sikazwe,FNT support,In-Progress,"- Win: Apprwap updated Netsuite Transfer Pricing script to be able to handle GL+Department allocation
- Win: Appwrap updated outstanding bugs for Netsuite Transfer Pricing script, ready to be used for all international entities for November close",https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,"Netsuite Invoicing
GL + department logic",Support FNT on execution,2,Charles Sikazwe,FNT support,In-Progress,,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2",N/A - out of office for the whole week,<<<<,8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",In-Progress,,Close Cash Faster est. 09/2025
Corporate Accounting,Set 2,Q3'26,11/24/2025,4,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement",N/A - out of office for the whole week,<<<<,3,Charles Sikazwe,"FNT support
D&V capacity",In-Progress,,"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2",Intro to FNT for NS tagging for Cash accounts,"Close Cash on BD 3
Roadmap for project to introduce COA tagging for Cash accounts",8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",In-Progress,,Close Cash Faster est. 09/2025
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,"Netsuite Invoicing
GL + department logic",Support FNT on execution,2,Charles Sikazwe,FNT support,In-Progress,,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement","I/C Invoicing
I/C Customers & Vendors",Support FNT execution,3,Charles Sikazwe,"FNT support
D&V capacity",In-Progress,,"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2",Connect with FNT for NS C&CCE tagging,CA <> FNT roadmap for C&CCE tagging,8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",In-Progress,,Close Cash Faster est. 09/2025
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,"Netsuite Invoicing
GL + department logic",Support FNT on execution,2,Charles Sikazwe,FNT support,In-Progress,,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,4/30/2026,Intercompany,Establish system (Netsuite) I/C Billings & Invoicing in Netsuite,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
-  System Intercompany Settlement","I/C Invoicing
I/C Customers & Vendors",Support FNT execution,3,Charles Sikazwe,"FNT support
D&V capacity",In-Progress,,"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 2,Q3'26,11/24/2025,3,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,1. Deploy integration to production ,1. Automation complete,2,Selena Ochoa,"Corp Acct agreement on who should prepare, review and approve leases",,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,3,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Train IT on Finance Lease creation (handoff)
2. Update Leases Confluence page","1. Go live with JE automation for November close
2. Finance lease creation handoff to IT",2,Selena Ochoa,"Corp Acct agreement on who should prepare, review and approve leases",,,
Corporate Accounting,Set 2,Q3'26,11/10/2025,2,1/31/2026,Prepaids,Fully automate prepaid accounting,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 8: Automate the prepaid usage process via proprietary programming,"[close week]
Focus: Continue working on prepaid usage in bolt.new
Tasks:
1. Finalize Bugcrowd vendor calculation start to end
2. Finalize Impact vendor calculation start to end",- Finalize setup for 2 complex vendors in testing,3,Justine O'Sullivan,,At-Risk/Missed,Did not have time to do this,
Corporate Accounting,Set 2,Q3'26,11/17/2025,3,1/31/2026,Prepaids,Fully automate prepaid accounting,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 5: Absorb GE reconciliations into current leadsheets,"Focus: Meet with Florence to go over Prepaids SL and Usage
Tasks:
1. Meet with Florence to review
2. Create timelined gameplan for SL and Usage vendors
3. Post JE to start GE SL schedules in NS
4. Edit leadsheet for GE tabs and vendors","- NS schedules are up to date for November close
- Leadsheets are updated to have GE data in them",35,Justine O'Sullivan,GE schedules being easy to migrate. We may need further months to understand usage vendors and what the processes would be MoM,Not Started,,
Corporate Accounting,Set 2,Q3'26,11/17/2025,4,1/31/2026,Close Management,Reduce close by 1 BD by end of Q3'26,C.A. 2 Enhance Close Optimization and Streamline Financial Processes,KR 11: Close books by BD1 in Feb 2027,Prepare timeline and communications for a trial Nov close by BD4.,Sent out communications and timeline for a BD4 Nov Close to accounting team,8,Rachele Russo,,In-Progress,,
Corporate Accounting,Set 2,Q3'26,12/1/2025,5,1/31/2026,Close Management,Reduce close by 1 BD by end of Q3'26,C.A. 2 Enhance Close Optimization and Streamline Financial Processes,KR 11: Close books by BD1 in Feb 2027,Monitor and track progress of JEs for Nov close and understand blockers for a BD4 close in real time,Have a complete list of JEs that were posted after BD4 to review in a debrief and plan how to prioritize for next close.,8,Rachele Russo,Cross-functional teams not being able to move up JEs,In-Progress,,
Corporate Accounting,Set 2,Q3'26,12/8/2025,6,1/31/2026,Close Management,Reduce close by 1 BD by end of Q3'26,C.A. 2 Enhance Close Optimization and Streamline Financial Processes,KR 11: Close books by BD1 in Feb 2027,Hold Nov post-close debrief to review pain points and areas for opportunities for Dec close,Create a plan on how to pull forward items from cross-functional teams for Dec close and/or address absolute blockers.,8,Rachele Russo,"Cross-functional teams not being able to move up JEs, lack of automation, lack of resources etc",Not Started,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Corporate Accounting,Set 2,,11/10/2025,2,1/31/2026,Prepaids,,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 8: Automate the prepaid usage process via proprietary programming,"[close week]
Focus: Continue working on prepaid usage in bolt.new
Tasks:
1. Finalize Bugcrowd vendor calculation start to end
2. Finalize Impact vendor calculation start to end",- Finalize setup for 2 complex vendors in testing,3,Justine O'Sullivan,,At-Risk/Missed,Did not have time to do this,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Corporate Accounting,Set 2,,11/17/2025,3,1/31/2026,Prepaids,,C.A. 6 Integrate Guideline acquisition into our Corporate accounting operations by Q3,KR 5: Absorb GE reconciliations into current leadsheets,"Focus: Meet with Florence to go over Prepaids SL and Usage
Tasks:
1. Meet with Florence to review
2. Create timelined gameplan for SL and Usage vendors
3. Post JE to start GE SL schedules in NS
4. Edit leadsheet for GE tabs and vendors","- NS schedules are up to date for November close
- Leadsheets are updated to have GE data in them",35,Justine O'Sullivan,GE schedules being easy to migrate. We may need further months to understand usage vendors and what the processes would be MoM,Not Started,,
